model_size(B),tp,num_clients,mode,success_rate,qps,avg_inlen,avg_outlen,max_inlen,max_outlen,o_tps,io_tps,min_ttft,max_ttft,mean_ttft,median_ttft,std_ttft,p90_ttft,p99_ttft,min_tpot,max_tpot,mean_tpot,median_tpot,std_tpot,p90_tpot,p99_tpot,min_e2e,max_e2e,mean_e2e,median_e2e,std_e2e,p90_e2e,p99_e2e,min_itl,max_itl,mean_itl,median_itl,std_itl,p90_itl,p99_itl
70,4,300,fp16,1.000,5.305,125.786,323.960,1020,982,1718.458,2385.695,109.561,2431.087,948.402,929.339,449.346,1543.783,2091.224,61.131,174.793,145.892,153.553,17.293,157.490,163.691,783.508,154335.407,47653.670,41796.313,33259.664,92924.645,142012.028,8.030,743.402,144.616,127.713,87.589,160.406,577.023
70,8,1,fp16,1.000,0.055,177.824,296.941,1020,790,16.346,26.135,66.721,3316.673,270.934,75.733,761.577,110.170,2804.151,59.401,63.185,60.535,60.423,0.772,61.002,62.853,2625.303,48084.692,18165.353,15261.903,13422.686,39699.435,47907.072,55.616,113.998,60.466,57.267,6.529,72.420,79.299
70,8,5,fp16,1.000,0.227,159.423,339.282,1020,801,76.988,113.164,115.052,885.357,408.937,455.871,190.098,604.325,815.252,59.533,79.783,63.262,62.811,2.784,63.763,78.055,1018.510,50528.722,21668.093,18002.842,15322.370,49313.552,50422.613,56.667,270.878,62.845,58.824,10.921,75.416,115.325
70,8,10,fp16,1.000,0.415,161.852,339.444,1020,878,140.960,208.172,114.906,896.517,406.326,425.688,182.189,627.534,794.568,61.201,77.431,64.893,64.523,2.087,66.200,75.396,1003.102,56390.421,22257.821,16825.785,16064.336,49800.941,52708.521,55.766,277.851,64.565,59.293,15.577,76.673,157.029
70,8,20,fp16,1.000,0.759,159.213,349.757,1020,878,265.359,386.154,112.474,902.544,399.161,401.005,183.191,627.039,771.666,62.261,80.792,67.162,67.062,1.959,68.342,76.168,985.820,59673.592,23731.232,19307.694,16434.927,52566.139,58823.884,0.482,298.198,66.901,60.251,19.568,78.224,172.313
70,8,30,fp16,1.000,1.108,156.467,353.809,1020,878,392.155,565.580,111.543,977.047,412.722,427.136,197.841,655.950,874.560,62.848,78.942,69.156,69.258,1.965,71.048,75.594,1002.928,61737.603,24737.354,20311.715,16609.482,53683.970,61575.032,52.691,327.380,68.946,61.240,22.464,79.235,181.880
70,8,40,fp16,1.000,1.450,153.347,349.524,1020,878,506.859,729.235,110.464,1058.936,431.842,456.588,209.008,680.392,935.158,62.962,85.789,71.012,71.224,2.019,72.608,76.079,1084.257,63647.558,25088.488,22334.927,16672.731,53932.551,63128.306,2.437,360.794,70.746,62.189,25.465,80.388,190.661
70,8,50,fp16,1.000,1.780,149.429,342.040,1020,878,608.667,874.579,106.273,1105.884,442.572,458.435,217.452,705.992,955.317,63.017,81.697,72.841,73.200,2.370,75.050,78.481,492.052,65499.316,25234.759,22790.191,16755.581,54279.063,64645.630,54.590,434.208,72.696,63.348,27.734,82.194,206.220
70,8,100,fp16,1.000,3.382,137.774,323.373,1020,947,1093.681,1559.646,103.859,1205.916,497.128,489.383,243.467,854.650,1057.377,67.841,99.776,80.495,80.841,2.842,83.199,87.366,593.448,78665.430,26399.002,23431.911,17214.094,50284.061,72554.148,2.310,429.780,80.348,67.818,37.817,89.477,248.806
70,8,200,fp16,1.000,5.609,129.114,323.382,1020,947,1813.971,2538.221,91.620,1508.043,583.010,567.747,283.436,994.750,1231.806,66.361,115.865,93.123,94.553,4.809,96.959,100.908,660.503,92517.157,30515.899,26705.960,20395.513,59777.044,88291.828,2.280,487.447,92.849,76.823,52.705,121.588,338.405
70,8,300,fp16,1.000,6.898,124.199,322.211,1020,982,2222.671,3079.420,91.373,1830.130,683.422,673.058,329.729,1113.549,1481.858,70.328,139.196,111.519,114.984,8.551,117.272,121.838,640.889,114612.733,36387.641,31808.756,25563.814,71310.389,106481.983,3.560,597.714,111.155,93.083,65.231,153.414,413.579
